Sno,Date,Time,State,ConfirmedIndianNational,ConfirmedForeignNational,Cured,Deaths,Confirmed
10108,01-01-2021,8:00 AM,Odisha,-,-,325432,1873,329621
10144,02-01-2021,8:00 AM,Odisha,-,-,325733,1876,329866
10180,03-01-2021,8:00 AM,Odisha,-,-,325965,1880,330117
10216,04-01-2021,8:00 AM,Odisha,-,-,326209,1883,330309
10252,05-01-2021,8:00 AM,Odisha,-,-,326507,1885,330492
10288,06-01-2021,8:00 AM,Odisha,-,-,326778,1887,330690
10324,07-01-2021,8:00 AM,Odisha,-,-,327008,1887,330921
10360,08-01-2021,8:00 AM,Odisha,-,-,327290,1888,331151
10396,09-01-2021,8:00 AM,Odisha,-,-,327534,1890,331396
10432,10-01-2021,8:00 AM,Odisha,-,-,327803,1891,331602
10468,11-01-2021,8:00 AM,Odisha,-,-,328043,1891,331862
10504,12-01-2021,8:00 AM,Odisha,-,-,328271,1892,332106
10540,13-01-2021,8:00 AM,Odisha,-,-,328452,1894,332331
10576,14-01-2021,8:00 AM,Odisha,-,-,328622,1895,332541
10612,15-01-2021,8:00 AM,Odisha,-,-,328832,1896,332763
10648,16-01-2021,8:00 AM,Odisha,-,-,329088,1898,332949
10684,17-01-2021,8:00 AM,Odisha,-,-,329318,1899,333127
10720,18-01-2021,8:00 AM,Odisha,-,-,329546,1900,333310
10756,19-01-2021,8:00 AM,Odisha,-,-,329801,1901,333444
10792,20-01-2021,8:00 AM,Odisha,-,-,330051,1902,333566
10828,21-01-2021,8:00 AM,Odisha,-,-,330321,1902,333723
10864,22-01-2021,8:00 AM,Odisha,-,-,330545,1903,333866
10900,23-01-2021,8:00 AM,Odisha,-,-,330757,1903,334020
10936,24-01-2021,8:00 AM,Odisha,-,-,330962,1904,334150
10972,25-01-2021,8:00 AM,Odisha,-,-,331144,1905,334300
11008,26-01-2021,8:00 AM,Odisha,-,-,331284,1906,334430
11044,27-01-2021,8:00 AM,Odisha,-,-,331427,1906,334529
11080,28-01-2021,8:00 AM,Odisha,-,-,331535,1906,334667
11116,29-01-2021,8:00 AM,Odisha,-,-,331667,1906,334780
11152,30-01-2021,8:00 AM,Odisha,-,-,331824,1906,334850
11188,31-01-2021,8:00 AM,Odisha,-,-,331962,1906,334958
11224,01-02-2021,8:00 AM,Odisha,-,-,332103,1906,335072
11260,02-02-2021,8:00 AM,Odisha,-,-,332239,1906,335151
11296,03-02-2021,8:00 AM,Odisha,-,-,332377,1906,335211
11332,04-02-2021,8:00 AM,Odisha,-,-,332499,1906,335282
11368,05-02-2021,8:00 AM,Odisha,-,-,332611,1907,335369
11404,06-02-2021,8:00 AM,Odisha,-,-,332733,1908,335466
11440,07-02-2021,8:00 AM,Odisha,-,-,332842,1909,335548
11476,08-02-2021,8:00 AM,Odisha,-,-,332948,1909,335620
11512,09-02-2021,8:00 AM,Odisha,-,-,333031,1910,335692
11548,10-02-2021,8:00 AM,Odisha,-,-,333139,1910,335797
11584,11-02-2021,8:00 AM,Odisha,-,-,333220,1910,335889
11620,12-02-2021,8:00 AM,Odisha,-,-,333280,1910,335984
11656,13-02-2021,8:00 AM,Odisha,-,-,333351,1910,336042
11692,14-02-2021,8:00 AM,Odisha,-,-,333451,1910,336101
11728,15-02-2021,8:00 AM,Odisha,-,-,333554,1910,336174
11764,16-02-2021,8:00 AM,Odisha,-,-,333637,1911,336262
11800,17-02-2021,8:00 AM,Odisha,-,-,333700,1912,336322
11836,18-02-2021,8:00 AM,Odisha,-,-,333788,1912,336397
11872,19-02-2021,8:00 AM,Odisha,-,-,333888,1913,336460
11908,20-02-2021,8:00 AM,Odisha,-,-,333980,1914,336513
11944,21-02-2021,8:00 AM,Odisha,-,-,334053,1914,336578
11980,22-02-2021,8:00 AM,Odisha,-,-,334107,1914,336636
12016,23-02-2021,8:00 AM,Odisha,-,-,334166,1914,336705
12052,24-02-2021,8:00 AM,Odisha,-,-,334243,1914,336767
12088,25-02-2021,8:00 AM,Odisha,-,-,334333,1914,336835
12124,26-02-2021,8:00 AM,Odisha,-,-,334400,1915,336924
12160,27-02-2021,8:00 AM,Odisha,-,-,334463,1915,337018
12196,28-02-2021,8:00 AM,Odisha,-,-,334519,1915,337104
12232,01-03-2021,8:00 AM,Odisha,-,-,334571,1916,337191
12268,02-03-2021,8:00 AM,Odisha,-,-,334647,1916,337277
12304,03-03-2021,8:00 AM,Odisha,-,-,334703,1917,337351
12340,04-03-2021,8:00 AM,Odisha,-,-,334767,1917,337448
12376,05-03-2021,8:00 AM,Odisha,-,-,334838,1917,337529
12412,06-03-2021,8:00 AM,Odisha,-,-,334902,1917,337620
12448,07-03-2021,8:00 AM,Odisha,-,-,334990,1917,337674
12484,08-03-2021,8:00 AM,Odisha,-,-,335080,1917,337744
12520,09-03-2021,8:00 AM,Odisha,-,-,335168,1917,337803
12556,10-03-2021,8:00 AM,Odisha,-,-,335250,1917,337860
12592,11-03-2021,8:00 AM,Odisha,-,-,335250,1917,337860
12628,12-03-2021,8:00 AM,Odisha,-,-,335322,1917,337929
12664,13-03-2021,8:00 AM,Odisha,-,-,335499,1917,338056
12700,14-03-2021,8:00 AM,Odisha,-,-,335569,1918,338121
12736,15-03-2021,8:00 AM,Odisha,-,-,335660,1918,338192
12772,16-03-2021,8:00 AM,Odisha,-,-,335730,1918,338258
12808,17-03-2021,8:00 AM,Odisha,-,-,335796,1918,338323
12844,18-03-2021,8:00 AM,Odisha,-,-,335857,1918,338405
12880,19-03-2021,8:00 AM,Odisha,-,-,335923,1918,338489
12916,20-03-2021,8:00 AM,Odisha,-,-,335994,1918,338599
12952,21-03-2021,8:00 AM,Odisha,-,-,336066,1918,338719
12988,22-03-2021,8:00 AM,Odisha,-,-,336124,1919,338817
13024,23-03-2021,8:00 AM,Odisha,-,-,336206,1919,338963
13060,24-03-2021,8:00 AM,Odisha,-,-,336266,1919,339076
13096,25-03-2021,8:00 AM,Odisha,-,-,336337,1919,339246
13132,26-03-2021,8:00 AM,Odisha,-,-,336409,1919,339460
13168,27-03-2021,8:00 AM,Odisha,-,-,336482,1919,339694
13204,28-03-2021,8:00 AM,Odisha,-,-,336571,1920,339904
13240,29-03-2021,8:00 AM,Odisha,-,-,336691,1920,340194
13276,30-03-2021,8:00 AM,Odisha,-,-,336809,1921,340402
13312,31-03-2021,8:00 AM,Odisha,-,-,336930,1921,340620
13348,01-04-2021,8:00 AM,Odisha,-,-,337091,1921,340917
13384,02-04-2021,8:00 AM,Odisha,-,-,337212,1921,341311
13420,03-04-2021,8:00 AM,Odisha,-,-,337430,1921,341772
13456,04-04-2021,8:00 AM,Odisha,-,-,337635,1921,342224
13492,05-04-2021,8:00 AM,Odisha,-,-,337935,1922,342695
13528,06-04-2021,8:00 AM,Odisha,-,-,338150,1922,343268
13564,07-04-2021,8:00 AM,Odisha,-,-,338416,1922,343856
13600,08-04-2021,8:00 AM,Odisha,-,-,338662,1923,344647
13636,09-04-2021,8:00 AM,Odisha,-,-,338890,1923,345526
13672,10-04-2021,8:00 AM,Odisha,-,-,339200,1924,346808
13708,11-04-2021,8:00 AM,Odisha,-,-,339603,1926,348182
13744,12-04-2021,8:00 AM,Odisha,-,-,340062,1926,349561
13780,13-04-2021,8:00 AM,Odisha,-,-,340600,1928,351302
13816,14-04-2021,8:00 AM,Odisha,-,-,341123,1930,353086
13852,15-04-2021,8:00 AM,Odisha,-,-,341733,1933,355353
13888,16-04-2021,8:00 AM,Odisha,-,-,342570,1935,358342
13924,17-04-2021,8:00 AM,Odisha,-,-,343522,1938,361450
13960,18-04-2021,8:00 AM,Odisha,-,-,344825,1942,364594
13996,19-04-2021,8:00 AM,Odisha,-,-,346134,1944,368258
14032,20-04-2021,8:00 AM,Odisha,-,-,347637,1948,372703
14068,21-04-2021,8:00 AM,Odisha,-,-,349377,1953,377464
14104,22-04-2021,8:00 AM,Odisha,-,-,351386,1958,382315
14140,23-04-2021,8:00 AM,Odisha,-,-,353551,1965,388479
14176,24-04-2021,8:00 AM,Odisha,-,-,356003,1973,394694
14212,25-04-2021,8:00 AM,Odisha,-,-,359467,1981,401341
14248,26-04-2021,8:00 AM,Odisha,-,-,362931,1988,407457
14284,27-04-2021,8:00 AM,Odisha,-,-,367111,1997,414056
14320,28-04-2021,8:00 AM,Odisha,-,-,371200,2007,420129
14356,29-04-2021,8:00 AM,Odisha,-,-,375721,2017,428515
14392,30-04-2021,8:00 AM,Odisha,-,-,380400,2029,435513
14428,01-05-2021,8:00 AM,Odisha,-,-,385414,2043,444194
14464,02-05-2021,8:00 AM,Odisha,-,-,391048,2054,454607
14500,03-05-2021,8:00 AM,Odisha,-,-,397575,2068,462622
14536,04-05-2021,8:00 AM,Odisha,-,-,404063,2073,471536
14572,05-05-2021,8:00 AM,Odisha,-,-,410227,2088,479752
14608,06-05-2021,8:00 AM,Odisha,-,-,416403,2104,489641
14644,07-05-2021,8:00 AM,Odisha,-,-,423257,2121,500162
14680,08-05-2021,8:00 AM,Odisha,-,-,431658,2140,512400
14716,09-05-2021,8:00 AM,Odisha,-,-,439322,2161,524207
14752,10-05-2021,8:00 AM,Odisha,-,-,447863,2180,534842
14788,11-05-2021,8:00 AM,Odisha,-,-,457569,2197,544873
14824,12-05-2021,8:00 AM,Odisha,-,-,465133,2215,554666
14860,13-05-2021,8:00 AM,Odisha,-,-,473680,2232,565648
14896,14-05-2021,8:00 AM,Odisha,-,-,482345,2251,576297
14932,15-05-2021,8:00 AM,Odisha,-,-,491674,2273,588687
14968,16-05-2021,8:00 AM,Odisha,-,-,502455,2294,600492
15004,17-05-2021,8:00 AM,Odisha,-,-,514532,2313,612224
15040,18-05-2021,8:00 AM,Odisha,-,-,526353,2335,622981
15076,19-05-2021,8:00 AM,Odisha,-,-,536595,2357,633302
15112,20-05-2021,8:00 AM,Odisha,-,-,546631,2378,644401
15148,21-05-2021,8:00 AM,Odisha,-,-,556501,2403,655899
15184,22-05-2021,8:00 AM,Odisha,-,-,567382,2430,668422
15220,23-05-2021,8:00 AM,Odisha,-,-,577983,2456,679530
15256,24-05-2021,8:00 AM,Odisha,-,-,589610,2484,692382
15292,25-05-2021,8:00 AM,Odisha,-,-,601224,2516,703441
15328,26-05-2021,8:00 AM,Odisha,-,-,612993,2549,714380
15364,27-05-2021,8:00 AM,Odisha,-,-,623628,2584,726003
15400,28-05-2021,8:00 AM,Odisha,-,-,623628,2618,732739
15436,29-05-2021,8:00 AM,Odisha,-,-,635179,2651,739995
15472,30-05-2021,8:00 AM,Odisha,-,-,658646,2686,747143
15508,31-05-2021,8:00 AM,Odisha,-,-,670527,2719,756684
15544,01-06-2021,8:00 AM,Odisha,-,-,680932,2754,764997
15580,02-06-2021,8:00 AM,Odisha,-,-,692027,2791,773732
15616,03-06-2021,8:00 AM,Odisha,-,-,702621,2831,782131
15652,04-06-2021,8:00 AM,Odisha,-,-,713055,2873,790970
15688,05-06-2021,8:00 AM,Odisha,-,-,724402,2912,798699
15724,06-06-2021,8:00 AM,Odisha,-,-,732018,2952,806094
15760,07-06-2021,8:00 AM,Odisha,-,-,739376,2994,813096
15796,08-06-2021,8:00 AM,Odisha,-,-,747805,3035,819214
15832,09-06-2021,8:00 AM,Odisha,-,-,756641,3080,825110
15868,10-06-2021,8:00 AM,Odisha,-,-,764673,3123,831129
15904,11-06-2021,8:00 AM,Odisha,-,-,772972,3167,837226
15940,12-06-2021,8:00 AM,Odisha,-,-,781488,3210,842461
15976,13-06-2021,8:00 AM,Odisha,-,-,789066,3257,847313
16012,14-06-2021,8:00 AM,Odisha,-,-,796799,3302,851782
16048,15-06-2021,8:00 AM,Odisha,-,-,804981,3346,856121
16084,16-06-2021,8:00 AM,Odisha,-,-,811780,3388,859526
16120,17-06-2021,8:00 AM,Odisha,-,-,817359,3432,863061
16156,18-06-2021,8:00 AM,Odisha,-,-,823599,3471,866692
16192,19-06-2021,8:00 AM,Odisha,-,-,829851,3508,870498
16228,20-06-2021,8:00 AM,Odisha,-,-,835132,3550,873925
16264,21-06-2021,8:00 AM,Odisha,-,-,840214,3590,877502
16300,22-06-2021,8:00 AM,Odisha,-,-,844801,3633,880533
16336,23-06-2021,8:00 AM,Odisha,-,-,848960,3671,883490
16372,24-06-2021,8:00 AM,Odisha,-,-,853012,3717,886946
16408,25-06-2021,8:00 AM,Odisha,-,-,856498,3761,890596
16444,26-06-2021,8:00 AM,Odisha,-,-,860142,3801,893508
16480,27-06-2021,8:00 AM,Odisha,-,-,863824,3848,897062
16516,28-06-2021,8:00 AM,Odisha,-,-,867402,3887,900470
16552,29-06-2021,8:00 AM,Odisha,-,-,870787,3930,903789
16588,30-06-2021,8:00 AM,Odisha,-,-,874307,3970,906429
16624,01-07-2021,8:00 AM,Odisha,-,-,877540,4018,909800
16660,02-07-2021,8:00 AM,Odisha,-,-,880997,4063,912887
