Sno,Date,Time,State,ConfirmedIndianNational,ConfirmedForeignNational,Cured,Deaths,Confirmed
14470,02-05-2021,8:00 AM,Telangana,-,-,367727,2368,450790
14506,03-05-2021,8:00 AM,Telangana,-,-,373933,2417,456485
14542,04-05-2021,8:00 AM,Telangana,-,-,381365,2476,463361
14578,05-05-2021,8:00 AM,Telangana,-,-,389491,2527,469722
14614,06-05-2021,8:00 AM,Telangana,-,-,396042,2579,475748
14650,07-05-2021,8:00 AM,Telangana,-,-,405164,2625,481640
14686,08-05-2021,8:00 AM,Telangana,-,-,413225,2666,487199
14722,09-05-2021,8:00 AM,Telangana,-,-,421219,2704,492385
14758,10-05-2021,8:00 AM,Telangana,-,-,428865,2739,497361
14794,11-05-2021,8:00 AM,Telangana,-,-,436619,2771,502187
14830,12-05-2021,8:00 AM,Telangana,-,-,444049,2803,506988
14866,13-05-2021,8:00 AM,Telangana,-,-,449744,2834,511711
14902,14-05-2021,8:00 AM,Telangana,-,-,456620,2867,516404
14938,15-05-2021,8:00 AM,Telangana,-,-,462981,2896,520709
14974,16-05-2021,8:00 AM,Telangana,-,-,469007,2928,525007
15010,17-05-2021,8:00 AM,Telangana,-,-,474899,2955,528823
15046,18-05-2021,8:00 AM,Telangana,-,-,480458,2985,532784
15082,19-05-2021,8:00 AM,Telangana,-,-,485644,3012,536766
15118,20-05-2021,8:00 AM,Telangana,-,-,490620,3037,540603
15154,21-05-2021,8:00 AM,Telangana,-,-,495446,3060,544263
15190,22-05-2021,8:00 AM,Telangana,-,-,500247,3085,547727
15226,23-05-2021,8:00 AM,Telangana,-,-,504970,3106,551035
15262,24-05-2021,8:00 AM,Telangana,-,-,509663,3125,553277
15298,25-05-2021,8:00 AM,Telangana,-,-,513968,3146,556320
15334,26-05-2021,8:00 AM,Telangana,-,-,518266,3169,560141
15370,27-05-2021,8:00 AM,Telangana,-,-,522082,3189,563903
15406,28-05-2021,8:00 AM,Telangana,-,-,526043,3207,567517
15442,29-05-2021,8:00 AM,Telangana,-,-,530025,3226,571044
15478,30-05-2021,8:00 AM,Telangana,-,-,533862,3247,574026
15514,31-05-2021,8:00 AM,Telangana,-,-,537522,3263,575827
15550,01-06-2021,8:00 AM,Telangana,-,-,540986,3281,578351
15586,02-06-2021,8:00 AM,Telangana,-,-,544294,3296,580844
15622,03-06-2021,8:00 AM,Telangana,-,-,546536,3313,583228
15658,04-06-2021,8:00 AM,Telangana,-,-,549579,3331,585489
15694,05-06-2021,8:00 AM,Telangana,-,-,553400,3346,587664
15730,06-06-2021,8:00 AM,Telangana,-,-,557162,3364,589734
15766,07-06-2021,8:00 AM,Telangana,-,-,560776,3378,591170
15802,08-06-2021,8:00 AM,Telangana,-,-,564303,3394,593103
15838,09-06-2021,8:00 AM,Telangana,-,-,567285,3409,595000
15874,10-06-2021,8:00 AM,Telangana,-,-,569086,3426,596813
15910,11-06-2021,8:00 AM,Telangana,-,-,571610,3440,598611
15946,12-06-2021,8:00 AM,Telangana,-,-,574103,3456,600318
15982,13-06-2021,8:00 AM,Telangana,-,-,576487,3469,602089
16018,14-06-2021,8:00 AM,Telangana,-,-,578748,3484,603369
16054,15-06-2021,8:00 AM,Telangana,-,-,580923,3496,604880
16090,16-06-2021,8:00 AM,Telangana,-,-,582993,3510,606436
16126,17-06-2021,8:00 AM,Telangana,-,-,584429,3521,607925
16162,18-06-2021,8:00 AM,Telangana,-,-,586362,3534,609417
16198,19-06-2021,8:00 AM,Telangana,-,-,588259,3546,610834
16234,20-06-2021,8:00 AM,Telangana,-,-,590072,3556,612196
16270,21-06-2021,8:00 AM,Telangana,-,-,591870,3567,613202
16306,22-06-2021,8:00 AM,Telangana,-,-,593577,3576,614399
16342,23-06-2021,8:00 AM,Telangana,-,-,595348,3586,615574
16378,24-06-2021,8:00 AM,Telangana,-,-,596628,3598,616688
16414,25-06-2021,8:00 AM,Telangana,-,-,598139,3607,617776
16450,26-06-2021,8:00 AM,Telangana,-,-,599695,3618,618837
16486,27-06-2021,8:00 AM,Telangana,-,-,601184,3627,619865
16522,28-06-2021,8:00 AM,Telangana,-,-,602676,3635,620613
16558,29-06-2021,8:00 AM,Telangana,-,-,604093,3644,621606
16594,30-06-2021,8:00 AM,Telangana,-,-,605455,3651,622593
16630,01-07-2021,8:00 AM,Telangana,-,-,606461,3661,623510
16666,02-07-2021,8:00 AM,Telangana,-,-,607658,3669,624379
16702,03-07-2021,8:00 AM,Telangana,-,-,608833,3678,625237
16738,04-07-2021,8:00 AM,Telangana,-,-,609947,3684,626085
16774,05-07-2021,8:00 AM,Telangana,-,-,611035,3691,626690
16810,06-07-2021,8:00 AM,Telangana,-,-,612096,3698,627498
16846,07-07-2021,8:00 AM,Telangana,-,-,613124,3703,628282
16882,08-07-2021,8:00 AM,Telangana,-,-,613872,3710,629054
16918,09-07-2021,8:00 AM,Telangana,-,-,614865,3714,629785
16954,10-07-2021,8:00 AM,Telangana,-,-,615852,3720,630514
16990,11-07-2021,8:00 AM,Telangana,-,-,616769,3725,631218
17026,12-07-2021,8:00 AM,Telangana,-,-,617638,3729,631683
17062,13-07-2021,8:00 AM,Telangana,-,-,618496,3735,632379
17098,14-07-2021,8:00 AM,Telangana,-,-,619344,3738,633146
17134,15-07-2021,8:00 AM,Telangana,-,-,619949,3743,633895
17170,16-07-2021,8:00 AM,Telangana,-,-,620757,3747,634605
17206,17-07-2021,8:00 AM,Telangana,-,-,621541,3751,635320
17242,18-07-2021,8:00 AM,Telangana,-,-,622313,3756,636049
17278,19-07-2021,8:00 AM,Telangana,-,-,623044,3759,636627
17314,20-07-2021,8:00 AM,Telangana,-,-,623773,3764,637373
17350,21-07-2021,8:00 AM,Telangana,-,-,624477,3766,638030
17386,22-07-2021,8:00 AM,Telangana,-,-,625042,3771,638721
17422,23-07-2021,8:00 AM,Telangana,-,-,625738,3774,639369
17458,24-07-2021,8:00 AM,Telangana,-,-,626505,3778,640012
17494,25-07-2021,8:00 AM,Telangana,-,-,627254,3780,640659
