Sno,Date,Time,State,ConfirmedIndianNational,ConfirmedForeignNational,Cured,Deaths,Confirmed
10088,01-01-2021,8:00 AM,Chandigarh,-,-,19045,317,19748
10124,02-01-2021,8:00 AM,Chandigarh,-,-,19109,318,19799
10160,03-01-2021,8:00 AM,Chandigarh,-,-,19226,319,19865
10196,04-01-2021,8:00 AM,Chandigarh,-,-,19280,320,19881
10232,05-01-2021,8:00 AM,Chandigarh,-,-,19348,321,19936
10268,06-01-2021,8:00 AM,Chandigarh,-,-,19464,322,20026
10304,07-01-2021,8:00 AM,Chandigarh,-,-,19525,323,20104
10340,08-01-2021,8:00 AM,Chandigarh,-,-,19582,325,20147
10376,09-01-2021,8:00 AM,Chandigarh,-,-,19637,326,20201
10412,10-01-2021,8:00 AM,Chandigarh,-,-,19696,327,20251
10448,11-01-2021,8:00 AM,Chandigarh,-,-,19727,327,20295
10484,12-01-2021,8:00 AM,Chandigarh,-,-,19756,327,20342
10520,13-01-2021,8:00 AM,Chandigarh,-,-,19780,328,20378
10556,14-01-2021,8:00 AM,Chandigarh,-,-,19794,329,20415
10592,15-01-2021,8:00 AM,Chandigarh,-,-,19835,330,20438
10628,16-01-2021,8:00 AM,Chandigarh,-,-,19868,330,20464
10664,17-01-2021,8:00 AM,Chandigarh,-,-,19935,330,20503
10700,18-01-2021,8:00 AM,Chandigarh,-,-,19978,330,20537
10736,19-01-2021,8:00 AM,Chandigarh,-,-,20031,330,20564
10772,20-01-2021,8:00 AM,Chandigarh,-,-,20080,330,20595
10808,21-01-2021,8:00 AM,Chandigarh,-,-,20122,330,20623
10844,22-01-2021,8:00 AM,Chandigarh,-,-,20162,331,20639
10880,23-01-2021,8:00 AM,Chandigarh,-,-,20195,332,20664
10916,24-01-2021,8:00 AM,Chandigarh,-,-,20226,333,20686
10952,25-01-2021,8:00 AM,Chandigarh,-,-,20248,334,20718
10988,26-01-2021,8:00 AM,Chandigarh,-,-,20273,334,20749
11024,27-01-2021,8:00 AM,Chandigarh,-,-,20302,334,20775
11060,28-01-2021,8:00 AM,Chandigarh,-,-,20339,334,20819
11096,29-01-2021,8:00 AM,Chandigarh,-,-,20363,334,20855
11132,30-01-2021,8:00 AM,Chandigarh,-,-,20389,334,20882
11168,31-01-2021,8:00 AM,Chandigarh,-,-,20414,334,20899
11204,01-02-2021,8:00 AM,Chandigarh,-,-,20426,334,20925
11240,02-02-2021,8:00 AM,Chandigarh,-,-,20447,334,20957
11276,03-02-2021,8:00 AM,Chandigarh,-,-,20462,335,20979
11312,04-02-2021,8:00 AM,Chandigarh,-,-,20493,336,21015
11348,05-02-2021,8:00 AM,Chandigarh,-,-,20512,337,21036
11384,06-02-2021,8:00 AM,Chandigarh,-,-,20535,338,21060
11420,07-02-2021,8:00 AM,Chandigarh,-,-,20565,339,21088
11456,08-02-2021,8:00 AM,Chandigarh,-,-,20598,340,21107
11492,09-02-2021,8:00 AM,Chandigarh,-,-,20623,341,21133
11528,10-02-2021,8:00 AM,Chandigarh,-,-,20644,342,21154
11564,11-02-2021,8:00 AM,Chandigarh,-,-,20670,343,21171
11600,12-02-2021,8:00 AM,Chandigarh,-,-,20700,344,21184
11636,13-02-2021,8:00 AM,Chandigarh,-,-,20717,344,21203
11672,14-02-2021,8:00 AM,Chandigarh,-,-,20752,345,21220
11708,15-02-2021,8:00 AM,Chandigarh,-,-,20765,346,21238
11744,16-02-2021,8:00 AM,Chandigarh,-,-,20789,346,21264
11780,17-02-2021,8:00 AM,Chandigarh,-,-,20813,347,21293
11816,18-02-2021,8:00 AM,Chandigarh,-,-,20832,348,21322
11852,19-02-2021,8:00 AM,Chandigarh,-,-,20854,348,21352
11888,20-02-2021,8:00 AM,Chandigarh,-,-,20867,348,21371
11924,21-02-2021,8:00 AM,Chandigarh,-,-,20879,349,21397
11960,22-02-2021,8:00 AM,Chandigarh,-,-,20890,349,21425
11996,23-02-2021,8:00 AM,Chandigarh,-,-,20908,350,21463
12032,24-02-2021,8:00 AM,Chandigarh,-,-,20923,350,21500
12068,25-02-2021,8:00 AM,Chandigarh,-,-,20940,351,21541
12104,26-02-2021,8:00 AM,Chandigarh,-,-,20960,351,21590
12140,27-02-2021,8:00 AM,Chandigarh,-,-,20986,351,21659
12176,28-02-2021,8:00 AM,Chandigarh,-,-,21011,351,21719
12212,01-03-2021,8:00 AM,Chandigarh,-,-,21037,352,21770
12248,02-03-2021,8:00 AM,Chandigarh,-,-,21056,353,21839
12284,03-03-2021,8:00 AM,Chandigarh,-,-,21080,354,21906
12320,04-03-2021,8:00 AM,Chandigarh,-,-,21104,355,21962
12356,05-03-2021,8:00 AM,Chandigarh,-,-,21140,355,22040
12392,06-03-2021,8:00 AM,Chandigarh,-,-,21174,355,22116
12428,07-03-2021,8:00 AM,Chandigarh,-,-,21208,355,22238
12464,08-03-2021,8:00 AM,Chandigarh,-,-,21253,355,22318
12500,09-03-2021,8:00 AM,Chandigarh,-,-,21316,356,22397
12536,10-03-2021,8:00 AM,Chandigarh,-,-,21368,356,22502
12572,11-03-2021,8:00 AM,Chandigarh,-,-,21368,356,22502
12608,12-03-2021,8:00 AM,Chandigarh,-,-,21416,357,22589
12644,13-03-2021,8:00 AM,Chandigarh,-,-,21539,357,22832
12680,14-03-2021,8:00 AM,Chandigarh,-,-,21586,358,22976
12716,15-03-2021,8:00 AM,Chandigarh,-,-,21650,358,23096
12752,16-03-2021,8:00 AM,Chandigarh,-,-,21720,358,23244
12788,17-03-2021,8:00 AM,Chandigarh,-,-,21833,359,23391
12824,18-03-2021,8:00 AM,Chandigarh,-,-,21903,359,23592
12860,19-03-2021,8:00 AM,Chandigarh,-,-,21978,359,23803
12896,20-03-2021,8:00 AM,Chandigarh,-,-,22060,360,24017
12932,21-03-2021,8:00 AM,Chandigarh,-,-,22142,361,24220
12968,22-03-2021,8:00 AM,Chandigarh,-,-,22225,362,24459
13004,23-03-2021,8:00 AM,Chandigarh,-,-,22325,363,24667
13040,24-03-2021,8:00 AM,Chandigarh,-,-,22451,364,24881
13076,25-03-2021,8:00 AM,Chandigarh,-,-,22587,365,25130
13112,26-03-2021,8:00 AM,Chandigarh,-,-,22702,368,25356
13148,27-03-2021,8:00 AM,Chandigarh,-,-,22840,372,25604
13184,28-03-2021,8:00 AM,Chandigarh,-,-,22992,374,25898
13220,29-03-2021,8:00 AM,Chandigarh,-,-,23184,377,26194
13256,30-03-2021,8:00 AM,Chandigarh,-,-,23345,377,26468
13292,31-03-2021,8:00 AM,Chandigarh,-,-,23523,379,26733
13328,01-04-2021,8:00 AM,Chandigarh,-,-,23702,379,26999
13364,02-04-2021,8:00 AM,Chandigarh,-,-,23925,380,27256
13400,03-04-2021,8:00 AM,Chandigarh,-,-,24064,381,27543
13436,04-04-2021,8:00 AM,Chandigarh,-,-,24309,382,27853
13472,05-04-2021,8:00 AM,Chandigarh,-,-,24661,383,28194
13508,06-04-2021,8:00 AM,Chandigarh,-,-,25033,384,28479
13544,07-04-2021,8:00 AM,Chandigarh,-,-,25375,386,28798
13580,08-04-2021,8:00 AM,Chandigarh,-,-,25688,388,29197
13616,09-04-2021,8:00 AM,Chandigarh,-,-,26017,389,29521
13652,10-04-2021,8:00 AM,Chandigarh,-,-,26337,393,29943
13688,11-04-2021,8:00 AM,Chandigarh,-,-,26680,396,30341
13724,12-04-2021,8:00 AM,Chandigarh,-,-,27037,399,30743
13760,13-04-2021,8:00 AM,Chandigarh,-,-,27412,400,31167
13796,14-04-2021,8:00 AM,Chandigarh,-,-,27793,401,31564
13832,15-04-2021,8:00 AM,Chandigarh,-,-,28210,404,31985
13868,16-04-2021,8:00 AM,Chandigarh,-,-,28619,407,32397
13904,17-04-2021,8:00 AM,Chandigarh,-,-,29047,408,32878
13940,18-04-2021,8:00 AM,Chandigarh,-,-,29485,410,33309
13976,19-04-2021,8:00 AM,Chandigarh,-,-,29896,413,33934
14012,20-04-2021,8:00 AM,Chandigarh,-,-,30325,417,34546
14048,21-04-2021,8:00 AM,Chandigarh,-,-,30768,421,35148
14084,22-04-2021,8:00 AM,Chandigarh,-,-,31222,423,35770
14120,23-04-2021,8:00 AM,Chandigarh,-,-,31704,427,36404
14156,24-04-2021,8:00 AM,Chandigarh,-,-,32180,430,37232
14192,25-04-2021,8:00 AM,Chandigarh,-,-,32608,433,37943
14228,26-04-2021,8:00 AM,Chandigarh,-,-,33021,435,38692
14264,27-04-2021,8:00 AM,Chandigarh,-,-,33498,440,39513
14300,28-04-2021,8:00 AM,Chandigarh,-,-,33924,446,40350
14336,29-04-2021,8:00 AM,Chandigarh,-,-,34359,457,41122
14372,30-04-2021,8:00 AM,Chandigarh,-,-,34806,465,41923
14408,01-05-2021,8:00 AM,Chandigarh,-,-,35263,478,42647
14444,02-05-2021,8:00 AM,Chandigarh,-,-,35735,489,43446
14480,03-05-2021,8:00 AM,Chandigarh,-,-,36218,496,44306
14516,04-05-2021,8:00 AM,Chandigarh,-,-,36746,507,45196
14552,05-05-2021,8:00 AM,Chandigarh,-,-,37288,518,45976
14588,06-05-2021,8:00 AM,Chandigarh,-,-,37898,532,46793
14624,07-05-2021,8:00 AM,Chandigarh,-,-,38591,541,47552
14660,08-05-2021,8:00 AM,Chandigarh,-,-,39388,549,48442
14696,09-05-2021,8:00 AM,Chandigarh,-,-,40249,558,49312
14732,10-05-2021,8:00 AM,Chandigarh,-,-,41128,568,50207
14768,11-05-2021,8:00 AM,Chandigarh,-,-,41842,575,51070
14804,12-05-2021,8:00 AM,Chandigarh,-,-,42647,585,51857
14840,13-05-2021,8:00 AM,Chandigarh,-,-,43506,599,52633
14876,14-05-2021,8:00 AM,Chandigarh,-,-,44343,609,53393
14912,15-05-2021,8:00 AM,Chandigarh,-,-,45268,617,54043
14948,16-05-2021,8:00 AM,Chandigarh,-,-,46231,625,54703
14984,17-05-2021,8:00 AM,Chandigarh,-,-,47088,635,55367
15020,18-05-2021,8:00 AM,Chandigarh,-,-,47964,641,55987
15056,19-05-2021,8:00 AM,Chandigarh,-,-,48831,647,56513
15092,20-05-2021,8:00 AM,Chandigarh,-,-,49701,656,56927
15128,21-05-2021,8:00 AM,Chandigarh,-,-,50592,666,57331
15164,22-05-2021,8:00 AM,Chandigarh,-,-,51382,680,57737
15200,23-05-2021,8:00 AM,Chandigarh,-,-,52172,692,58129
15236,24-05-2021,8:00 AM,Chandigarh,-,-,52913,702,58489
15272,25-05-2021,8:00 AM,Chandigarh,-,-,53597,709,58734
15308,26-05-2021,8:00 AM,Chandigarh,-,-,54215,714,58992
15344,27-05-2021,8:00 AM,Chandigarh,-,-,54921,722,59216
15380,28-05-2021,8:00 AM,Chandigarh,-,-,55558,729,59416
15416,29-05-2021,8:00 AM,Chandigarh,-,-,56084,735,59577
15452,30-05-2021,8:00 AM,Chandigarh,-,-,56534,740,59740
15488,31-05-2021,8:00 AM,Chandigarh,-,-,57043,745,59922
15524,01-06-2021,8:00 AM,Chandigarh,-,-,57526,753,60046
15560,02-06-2021,8:00 AM,Chandigarh,-,-,57915,758,60154
15596,03-06-2021,8:00 AM,Chandigarh,-,-,58276,761,60288
15632,04-06-2021,8:00 AM,Chandigarh,-,-,58502,762,60399
15668,05-06-2021,8:00 AM,Chandigarh,-,-,58717,765,60487
15704,06-06-2021,8:00 AM,Chandigarh,-,-,58892,768,60585
15740,07-06-2021,8:00 AM,Chandigarh,-,-,59054,772,60659
15776,08-06-2021,8:00 AM,Chandigarh,-,-,59193,774,60707
15812,09-06-2021,8:00 AM,Chandigarh,-,-,59314,779,60778
15848,10-06-2021,8:00 AM,Chandigarh,-,-,59432,781,60862
15884,11-06-2021,8:00 AM,Chandigarh,-,-,59564,783,60928
15920,12-06-2021,8:00 AM,Chandigarh,-,-,59648,786,60998
15956,13-06-2021,8:00 AM,Chandigarh,-,-,59727,789,61056
15992,14-06-2021,8:00 AM,Chandigarh,-,-,59798,792,61110
16028,15-06-2021,8:00 AM,Chandigarh,-,-,59859,794,61160
16064,16-06-2021,8:00 AM,Chandigarh,-,-,59917,797,61200
16100,17-06-2021,8:00 AM,Chandigarh,-,-,59980,799,61241
16136,18-06-2021,8:00 AM,Chandigarh,-,-,60076,802,61310
16172,19-06-2021,8:00 AM,Chandigarh,-,-,60123,804,61358
16208,20-06-2021,8:00 AM,Chandigarh,-,-,60201,806,61403
16244,21-06-2021,8:00 AM,Chandigarh,-,-,60271,806,61430
16280,22-06-2021,8:00 AM,Chandigarh,-,-,60327,806,61444
16316,23-06-2021,8:00 AM,Chandigarh,-,-,60383,806,61467
16352,24-06-2021,8:00 AM,Chandigarh,-,-,60446,807,61520
16388,25-06-2021,8:00 AM,Chandigarh,-,-,60488,807,61542
16424,26-06-2021,8:00 AM,Chandigarh,-,-,60533,807,61581
16460,27-06-2021,8:00 AM,Chandigarh,-,-,60577,807,61604
16496,28-06-2021,8:00 AM,Chandigarh,-,-,60614,807,61624
16532,29-06-2021,8:00 AM,Chandigarh,-,-,60644,807,61632
16568,30-06-2021,8:00 AM,Chandigarh,-,-,60685,808,61656
16604,01-07-2021,8:00 AM,Chandigarh,-,-,60708,808,61670
16640,02-07-2021,8:00 AM,Chandigarh,-,-,60730,808,61687
16676,03-07-2021,8:00 AM,Chandigarh,-,-,60745,808,61700
16712,04-07-2021,8:00 AM,Chandigarh,-,-,60761,808,61718
